Event_ID,Timestamp,User_ID,Username,IP_Address,Device_Type,Operating_System,Browser,Location,Country,Authentication_Method,Login_Status,Failure_Reason,Account_Status,Login_Hour,Is_Night_Login,Session_ID,User_Failed_Login_Count,IP_Failed_Login_Count,Users_Per_IP,Locations_Per_User,Risk_Score,Risk_Level
EVT_100027,2026-08-01 00:29:19,USR_1248,user_1248,10.0.0.129,Mobile,iOS,Edge,Paris,France,Biometric,Success,,Active,0,Yes,CC5B8978-4231-4055,7,8.0,2,3,10,Low
EVT_100028,2026-08-01 00:31:07,USR_1075,user_1075,10.0.0.188,Tablet,Android,Safari,Berlin,Germany,Password,Success,,Active,0,Yes,1E90CCF0-CF5D-402F,10,12.0,3,1,10,Low
EVT_100029,2026-08-01 00:32:44,USR_1172,user_1172,10.0.0.146,Desktop,Linux,Firefox,Tokyo,Japan,Password,Success,,Active,0,Yes,C1FFFA80-1470-4D79,8,6.0,2,2,10,Low
EVT_100030,2026-08-01 00:33:57,USR_1031,user_1031,10.0.0.22,Desktop,macOS,Firefox,London,UK,SSO,Success,,Active,0,Yes,52D05BDF-83B3-4A29,9,10.0,3,2,10,Low
EVT_100031,2026-08-01 00:35:21,USR_1226,user_1226,10.0.0.122,Mobile,Android,Chrome,Paris,France,SSO,Success,,Active,0,Yes,50E7A084-7146-446F,13,9.0,2,3,25,Medium
EVT_100032,2026-08-01 00:36:18,USR_1029,user_1029,192.168.1.119,Tablet,Android,Chrome,Dubai,UAE,Biometric,Success,,Active,0,Yes,ED3C6918-343A-47BA,12,5.0,1,3,25,Medium
EVT_100033,2026-08-01 00:36:53,USR_1227,user_1227,192.168.1.23,Tablet,iOS,Safari,Tokyo,Japan,Biometric,Success,,Active,0,Yes,074A2E98-3C2A-43AF,11,7.0,1,2,10,Low
EVT_100034,2026-08-01 00:38:07,USR_1107,user_1107,192.168.1.20,Mobile,iOS,Chrome,Tokyo,Japan,SSO,Success,,Active,0,Yes,3EB567C5-1281-491F,11,3.0,1,3,10,Low
EVT_100035,2026-08-01 00:38:47,USR_1008,user_1008,10.0.0.81,Laptop,Windows,Safari,Toronto,Canada,SSO,Success,,Active,0,Yes,23F1BD32-038A-4993,9,12.0,3,2,10,Low
EVT_100036,2026-08-01 00:39:04,USR_1175,user_1175,10.0.0.22,Mobile,iOS,Chrome,Paris,France,SSO,Success,,Active,0,Yes,24709FA9-84F7-43B3,11,10.0,3,3,10,Low
EVT_100037,2026-08-01 00:40:54,USR_1116,user_1116,192.168.1.233,Tablet,Android,Chrome,Toronto,Canada,Password,Success,,Active,0,Yes,9E3A5174-64DE-4F17,9,18.0,3,4,40,Medium
EVT_100038,2026-08-01 00:41:15,USR_1201,user_1201,192.168.1.235,Laptop,Windows,Edge,Berlin,Germany,MFA,Success,,Active,0,Yes,8C2029E6-1FF5-4628,11,3.0,1,4,20,Low
EVT_100039,2026-08-01 00:42:59,USR_1037,user_1037,192.168.1.85,Laptop,macOS,Edge,London,UK,MFA,Success,,Active,0,Yes,2BB0A32A-D212-471E,9,5.0,1,3,10,Low
EVT_100040,2026-08-01 00:43:18,USR_1169,user_1169,198.51.100.42,Tablet,Android,Chrome,Paris,France,Biometric,Failed,Incorrect Password,Active,0,Yes,7FDFD3AE-AA6F-449D,9,105.0,116,3,70,Critical
EVT_100041,2026-08-01 00:43:56,USR_1013,user_1013,192.168.1.151,Mobile,iOS,Chrome,London,UK,Password,Success,,Active,0,Yes,595DABD0-1D3F-4E83,9,10.0,3,2,10,Low
EVT_100042,2026-08-01 00:45:06,USR_1151,user_1151,192.168.1.152,Desktop,macOS,Edge,New York,USA,Password,Success,,Active,0,Yes,BB5FC880-B4DC-4261,9,8.0,2,1,10,Low
EVT_100043,2026-08-01 00:46:35,USR_1133,user_1133,10.0.0.188,Mobile,iOS,Chrome,Sydney,Australia,Password,Success,,Active,0,Yes,C0F7CCA1-AC04-4D0F,11,12.0,3,1,10,Low
EVT_100044,2026-08-01 00:47:34,USR_1175,user_1175,192.168.1.56,Mobile,iOS,Safari,Paris,France,Password,Success,,Active,0,Yes,3252B6F3-D83F-47AA,11,5.0,1,3,10,Low
EVT_100045,2026-08-01 00:47:57,USR_1016,user_1016,192.168.1.228,Desktop,macOS,Firefox,London,UK,SSO,Failed,MFA Failed,Active,0,Yes,E715E8E4-CE4E-4C54,11,12.0,2,4,50,High
EVT_100046,2026-08-01 00:48:14,USR_1203,user_1203,192.168.1.17,Mobile,Android,Safari,Sydney,Australia,SSO,Success,,Active,0,Yes,3FBEDA36-9B5A-4486,12,17.0,3,2,45,Medium
EVT_100047,2026-08-01 00:50:04,USR_1116,user_1116,10.0.0.19,Tablet,iOS,Chrome,Toronto,Canada,Biometric,Success,,Active,0,Yes,5E1A5769-8893-43B2,9,4.0,2,4,20,Low
EVT_100048,2026-08-01 00:50:56,USR_1244,user_1244,192.168.1.39,Laptop,Linux,Safari,Toronto,Canada,Password,Success,,Active,0,Yes,4B337F4B-C52B-431B,9,4.0,1,2,10,Low
EVT_100049,2026-08-01 00:51:13,USR_1190,user_1190,10.0.0.222,Laptop,Windows,Chrome,Dubai,UAE,Biometric,Success,,Active,0,Yes,BF8F2667-9F32-4B9A,12,7.0,2,4,35,Medium
EVT_100050,2026-08-01 00:53:09,USR_1170,user_1170,10.0.0.109,Mobile,Android,Firefox,Paris,France,Biometric,Success,,Active,0,Yes,508DFF3D-2B28-4668,13,3.0,1,3,25,Medium
EVT_100051,2026-08-01 00:54:15,USR_1057,user_1057,192.168.1.28,Laptop,macOS,Firefox,Sydney,Australia,Password,Success,,Active,0,Yes,0DCC665E-430C-4CF2,15,10.0,3,2,25,Medium
EVT_100052,2026-08-01 00:56:03,USR_1109,user_1109,192.168.1.180,Mobile,iOS,Chrome,Mumbai,India,MFA,Failed,Account Locked,Locked,0,Yes,C4B25B76-EE5D-414F,12,5.0,1,2,70,Critical
EVT_100053,2026-08-01 00:56:52,USR_1001,user_1001,192.168.1.67,Desktop,Windows,Safari,Mumbai,India,Password,Success,,Active,0,Yes,C87BE207-DC26-4F46,9,10.0,3,2,10,Low
EVT_100054,2026-08-01 00:58:04,USR_1055,user_1055,10.0.0.11,Desktop,macOS,Safari,Dubai,UAE,Biometric,Failed,Account Locked,Locked,0,Yes,A6A821C8-26E6-4F3D,11,6.0,1,1,55,High
EVT_100055,2026-08-01 00:59:48,USR_1241,user_1241,192.168.1.83,Mobile,Android,Edge,Mumbai,India,MFA,Success,,Active,0,Yes,765FB313-A000-45C1,9,2.0,1,2,10,Low
EVT_100056,2026-08-01 01:00:03,USR_1069,user_1069,10.0.0.148,Desktop,Linux,Safari,New York,USA,SSO,Success,,Active,1,Yes,3AB4695F-A4BD-4EED,14,17.0,4,3,45,Medium
EVT_100057,2026-08-01 01:00:35,USR_1193,user_1193,192.168.1.146,Mobile,iOS,Safari,Sydney,Australia,Password,Failed,Account Locked,Locked,1,Yes,55DD5B29-2F37-4C47,12,5.0,1,4,80,Critical
EVT_100058,2026-08-01 01:00:45,USR_1056,user_1056,10.0.0.27,Desktop,Linux,Chrome,New York,USA,Password,Success,,Active,1,Yes,83BD5DB8-C32F-499A,10,9.0,3,3,10,Low
EVT_100059,2026-08-01 01:02:27,USR_1065,user_1065,10.0.0.59,Laptop,macOS,Chrome,London,UK,Password,Success,,Active,1,Yes,D01D3BE5-193A-4585,11,18.0,3,4,40,Medium
EVT_100060,2026-08-01 01:02:48,USR_1097,user_1097,192.168.1.63,Mobile,iOS,Chrome,Dubai,UAE,SSO,Failed,Incorrect Password,Active,1,Yes,5830FDAF-257E-4D5C,8,8.0,2,3,40,Medium
EVT_100061,2026-08-01 01:03:02,USR_1220,user_1220,10.0.0.59,Mobile,iOS,Safari,London,UK,SSO,Failed,Incorrect Password,Active,1,Yes,996A657A-0E8C-4A70,12,18.0,3,1,75,Critical
EVT_100062,2026-08-01 01:03:28,USR_1205,user_1205,10.0.0.81,Mobile,iOS,Chrome,Berlin,Germany,SSO,Success,,Active,1,Yes,A24985FC-D11E-4687,15,12.0,3,2,25,Medium
EVT_100063,2026-08-01 01:04:48,USR_1102,user_1102,192.168.1.51,Tablet,iOS,Firefox,Berlin,Germany,Biometric,Success,,Active,1,Yes,662022C8-EA1F-4855,15,6.0,1,4,35,Medium
EVT_100064,2026-08-01 01:06:14,USR_1029,user_1029,192.168.1.119,Tablet,iOS,Firefox,Dubai,UAE,MFA,Success,,Active,1,Yes,93D0CB36-222D-4A3D,12,5.0,1,3,25,Medium
EVT_100065,2026-08-01 01:06:41,USR_1154,user_1154,192.168.1.166,Tablet,Android,Edge,Paris,France,SSO,Success,,Active,1,Yes,BE97CCCA-3B06-483B,16,11.0,2,2,25,Medium
EVT_100066,2026-08-01 01:08:00,USR_1114,user_1114,10.0.0.181,Laptop,Linux,Firefox,Toronto,Canada,MFA,Success,,Active,1,Yes,70F10682-1BF6-4A22,13,10.0,3,2,25,Medium
EVT_100067,2026-08-01 01:09:25,USR_1077,user_1077,10.0.0.198,Desktop,Linux,Chrome,New York,USA,Biometric,Success,,Active,1,Yes,8DD6A1EE-6A55-4211,8,3.0,1,1,10,Low
EVT_100068,2026-08-01 01:10:27,USR_1009,user_1009,192.168.1.205,Desktop,macOS,Firefox,Mumbai,India,Password,Success,,Active,1,Yes,D96B1EEC-0236-4EB7,5,4.0,2,1,10,Low
EVT_100069,2026-08-01 01:10:43,USR_1157,user_1157,10.0.0.209,Tablet,iOS,Chrome,Berlin,Germany,SSO,Success,,Active,1,Yes,F420738E-951F-43B7,12,3.0,1,2,25,Medium
EVT_100070,2026-08-01 01:11:12,USR_1082,user_1082,10.0.0.237,Laptop,Linux,Edge,Toronto,Canada,Password,Success,,Active,1,Yes,2982ACC0-9781-499D,6,2.0,1,3,10,Low
EVT_100071,2026-08-01 01:13:04,USR_1087,user_1087,192.168.1.127,Desktop,Linux,Edge,Berlin,Germany,Password,Failed,Account Locked,Locked,1,Yes,E43F9537-CA55-4600,11,11.0,2,1,55,High
EVT_100072,2026-08-01 01:14:16,USR_1133,user_1133,192.168.1.113,Mobile,iOS,Firefox,Sydney,Australia,Biometric,Failed,Incorrect Password,Active,1,Yes,69A97538-3FF1-466F,11,9.0,2,1,40,Medium
EVT_100073,2026-08-01 01:15:43,USR_1085,user_1085,192.168.1.62,Mobile,iOS,Chrome,Berlin,Germany,SSO,Success,,Active,1,Yes,7DB46CCA-07B3-40C2,11,5.0,1,2,10,Low
EVT_100074,2026-08-01 01:17:02,USR_1169,user_1169,192.168.1.66,Tablet,iOS,Firefox,Paris,France,SSO,Success,,Active,1,Yes,730EE7EE-8520-437D,9,11.0,5,3,20,Low
EVT_100075,2026-08-01 01:17:55,USR_1164,user_1164,45.23.97.206,Tablet,Android,Chrome,Mumbai,India,SSO,Failed,Incorrect Password,Active,1,Yes,1534850D-0270-47B5,10,1.0,1,4,50,High
EVT_100076,2026-08-01 01:18:28,USR_1035,user_1035,192.168.1.230,Desktop,Windows,Firefox,Singapore,Singapore,Password,Success,,Active,1,Yes,B7D8453A-3BA9-42B6,11,7.0,2,1,10,Low
EVT_100077,2026-08-01 01:20:07,USR_1226,user_1226,192.168.1.132,Mobile,iOS,Edge,Paris,France,SSO,Success,,Active,1,Yes,C8F535F6-D19A-461F,13,6.0,1,3,25,Medium
EVT_100078,2026-08-01 01:21:50,USR_1159,user_1159,192.168.1.70,Mobile,iOS,Chrome,Berlin,Germany,SSO,Success,,Active,1,Yes,E2E49762-A8C3-4F07,7,3.0,1,1,10,Low
EVT_100079,2026-08-01 01:23:13,USR_1072,user_1072,10.0.0.112,Desktop,Windows,Edge,Mumbai,India,Biometric,Success,,Active,1,Yes,544F03C6-F328-43EE,12,8.0,2,3,25,Medium
EVT_100080,2026-08-01 01:25:13,USR_1213,user_1213,203.0.113.115,Mobile,iOS,Safari,Paris,France,SSO,Failed,Incorrect Password,Active,1,Yes,E4331B32-860E-419F,11,113.0,125,3,70,Critical
EVT_100081,2026-08-01 01:26:11,USR_1247,user_1247,192.168.1.201,Mobile,Android,Edge,Dubai,UAE,Biometric,Failed,Account Locked,Locked,1,Yes,0F14C6C4-9CCC-47E5,13,9.0,3,2,70,Critical
EVT_100082,2026-08-01 01:27:26,USR_1239,user_1239,192.168.1.10,Tablet,Android,Firefox,Tokyo,Japan,Password,Success,,Active,1,Yes,5D2299B6-BD83-4E91,6,6.0,3,2,10,Low
EVT_100083,2026-08-01 01:29:26,USR_1131,user_1131,192.168.1.90,Desktop,macOS,Chrome,Dubai,UAE,MFA,Success,,Active,1,Yes,B27D4BA9-C2B9-4380,11,7.0,2,2,10,Low
EVT_100084,2026-08-01 01:29:34,USR_1106,user_1106,192.168.1.151,Tablet,iOS,Firefox,Dubai,UAE,MFA,Success,,Active,1,Yes,57EE738F-E243-42BB,5,10.0,3,1,10,Low
EVT_100085,2026-08-01 01:29:42,USR_1081,user_1081,192.168.1.162,Laptop,Linux,Firefox,London,UK,MFA,Failed,Account Locked,Locked,1,Yes,DE4F6154-0676-43AB,10,14.0,3,1,55,High
EVT_100086,2026-08-01 01:31:16,USR_1212,user_1212,192.168.1.179,Mobile,iOS,Safari,Berlin,Germany,Password,Success,,Active,1,Yes,461AADAD-5811-4E19,4,3.0,2,1,10,Low
EVT_100087,2026-08-01 01:31:48,USR_1213,user_1213,192.168.1.151,Mobile,iOS,Chrome,Paris,France,Biometric,Success,,Active,1,Yes,15BBFCFF-FED1-41ED,11,10.0,3,3,10,Low
EVT_100088,2026-08-01 01:32:46,USR_1163,user_1163,10.0.0.94,Tablet,Android,Chrome,Toronto,Canada,SSO,Success,,Active,1,Yes,31A3C25A-CB0E-46E8,9,3.0,1,2,10,Low
EVT_100089,2026-08-01 01:33:56,USR_1147,user_1147,192.168.1.136,Laptop,Linux,Edge,Toronto,Canada,Biometric,Success,,Active,1,Yes,8D63EFEB-43AB-45E6,8,3.0,1,1,10,Low
EVT_100090,2026-08-01 01:34:31,USR_1146,user_1146,10.0.0.236,Laptop,Windows,Chrome,Paris,France,Biometric,Failed,Incorrect Password,Active,1,Yes,0401DB5B-C862-4BC2,15,7.0,2,4,65,High
EVT_100091,2026-08-01 01:36:16,USR_1129,user_1129,192.168.1.143,Laptop,macOS,Safari,New York,USA,Password,Success,,Active,1,Yes,D48C98C1-0826-4AC7,9,3.0,1,2,10,Low
EVT_100092,2026-08-01 01:36:53,USR_1191,user_1191,192.168.1.188,Mobile,iOS,Chrome,London,UK,Biometric,Success,,Active,1,Yes,08EAE503-0246-494F,4,2.0,1,2,10,Low
EVT_100093,2026-08-01 01:38:32,USR_1193,user_1193,10.0.0.119,Mobile,Android,Chrome,Sydney,Australia,Biometric,Success,,Active,1,Yes,0BAE4ABF-6CC1-4A43,12,11.0,3,4,35,Medium
EVT_100094,2026-08-01 01:38:59,USR_1212,user_1212,10.0.0.158,Mobile,iOS,Edge,Berlin,Germany,MFA,Failed,Incorrect Password,Active,1,Yes,B04B7103-D8FA-456F,4,4.0,1,1,40,Medium
EVT_100095,2026-08-01 01:39:09,USR_1202,user_1202,192.168.1.155,Tablet,Android,Firefox,Paris,France,Biometric,Success,,Active,1,Yes,0A6A28B2-37B5-404E,9,7.0,3,2,10,Low
EVT_100096,2026-08-01 01:40:23,USR_1121,user_1121,10.0.0.174,Tablet,Android,Edge,Berlin,Germany,Biometric,Success,,Active,1,Yes,5ACB7314-4C3C-4889,6,3.0,1,1,10,Low
EVT_100097,2026-08-01 01:41:10,USR_1069,user_1069,192.168.1.176,Desktop,macOS,Safari,New York,USA,SSO,Success,,Active,1,Yes,C19A420A-971C-4399,14,2.0,1,3,25,Medium
EVT_100098,2026-08-01 01:42:04,USR_1086,user_1086,192.168.1.77,Laptop,macOS,Safari,Mumbai,India,Biometric,Success,,Active,1,Yes,F0644EE8-DFE4-483B,6,10.0,4,1,10,Low
EVT_100099,2026-08-01 01:43:51,USR_1021,user_1021,10.0.0.107,Mobile,Android,Safari,Tokyo,Japan,MFA,Success,,Active,1,Yes,738CE116-CC2F-4B4A,10,8.0,1,1,10,Low
EVT_100100,2026-08-01 01:44:06,USR_1083,user_1083,10.0.0.20,Desktop,macOS,Safari,Dubai,UAE,SSO,Failed,Account Locked,Locked,1,Yes,2F20F801-AF2A-403A,7,1.0,1,1,55,High
EVT_100101,2026-08-01 01:45:08,USR_1010,user_1010,10.0.0.34,Mobile,iOS,Firefox,London,UK,Password,Failed,Account Locked,Locked,1,Yes,A86EF55C-A21B-4476,10,9.0,2,3,55,High
EVT_100102,2026-08-01 01:46:18,USR_1205,user_1205,192.168.1.97,Mobile,Android,Edge,Berlin,Germany,SSO,Success,,Active,1,Yes,9E177335-C705-41CB,15,12.0,2,2,25,Medium
EVT_100103,2026-08-01 01:47:45,USR_1093,user_1093,10.0.0.177,Desktop,macOS,Chrome,Dubai,UAE,MFA,Success,,Active,1,Yes,54D82883-501F-42C3,7,16.0,2,1,30,Medium
EVT_100104,2026-08-01 01:48:37,USR_1113,user_1113,192.168.1.16,Mobile,Android,Firefox,Toronto,Canada,SSO,Failed,Incorrect Password,Active,1,Yes,4B4728F8-57EA-47BE,14,20.0,4,3,75,Critical
EVT_100105,2026-08-01 01:48:45,USR_1188,user_1188,192.168.1.157,Tablet,iOS,Safari,Berlin,Germany,Password,Failed,MFA Failed,Active,1,Yes,A2E422CC-FE94-4339,11,3.0,1,3,40,Medium
EVT_100106,2026-08-01 01:49:17,USR_1156,user_1156,10.0.0.76,Laptop,Linux,Safari,Paris,France,MFA,Success,,Active,1,Yes,1054F9CE-5F21-473F,10,10.0,2,1,10,Low
EVT_100107,2026-08-01 01:51:17,USR_1182,user_1182,10.0.0.17,Laptop,Windows,Firefox,New York,USA,Biometric,Success,,Active,1,Yes,1DE4ACF3-9B60-4C60,11,4.0,1,2,10,Low
EVT_100108,2026-08-01 01:51:59,USR_1228,user_1228,10.0.0.26,Tablet,Android,Edge,London,UK,Biometric,Success,,Active,1,Yes,58E989F6-36F4-4907,11,4.0,1,2,10,Low
EVT_100109,2026-08-01 01:52:29,USR_1202,user_1202,192.168.1.155,Tablet,Android,Safari,Paris,France,Password,Failed,Account Locked,Locked,1,Yes,85026694-5E6B-48D5,9,7.0,3,2,55,High
EVT_100110,2026-08-01 01:54:16,USR_1141,user_1141,192.168.1.82,Mobile,Android,Chrome,London,UK,Biometric,Failed,Account Locked,Locked,1,Yes,A33B0920-D1FD-4988,9,4.0,1,3,55,High
EVT_100111,2026-08-01 01:55:59,USR_1104,user_1104,192.168.1.29,Laptop,Windows,Firefox,London,UK,Password,Success,,Active,1,Yes,8FD2AE32-2A4B-4A67,15,6.0,1,4,35,Medium
EVT_100112,2026-08-01 01:56:48,USR_1032,user_1032,192.168.1.170,Tablet,Android,Safari,Tokyo,Japan,Password,Success,,Active,1,Yes,1E7483CD-11F9-4774,10,2.0,1,3,10,Low
EVT_100113,2026-08-01 01:57:31,USR_1042,user_1042,192.168.1.209,Desktop,macOS,Edge,Singapore,Singapore,Biometric,Success,,Active,1,Yes,081767C4-7076-4BCB,7,5.0,2,2,10,Low
EVT_100114,2026-08-01 01:58:12,USR_1216,user_1216,192.168.1.74,Desktop,macOS,Edge,Berlin,Germany,Biometric,Failed,Incorrect Password,Active,1,Yes,AA7BE766-369E-4EDA,8,3.0,1,3,40,Medium
EVT_100115,2026-08-01 01:58:38,USR_1151,user_1151,192.168.1.152,Desktop,Windows,Firefox,New York,USA,Password,Success,,Active,1,Yes,9F530160-8DF3-46C4,9,8.0,2,1,10,Low
EVT_100116,2026-08-01 01:58:48,USR_1242,user_1242,10.0.0.185,Laptop,Linux,Edge,Paris,France,SSO,Success,,Active,1,Yes,9873D959-0DA2-4F65,13,7.0,2,3,25,Medium
EVT_100117,2026-08-01 02:00:46,USR_1160,user_1160,10.0.0.148,Desktop,Linux,Firefox,Sydney,Australia,SSO,Failed,Account Locked,Locked,2,Yes,BC12DF88-8CD0-4B60,12,17.0,4,3,90,Critical
EVT_100118,2026-08-01 02:01:49,USR_1018,user_1018,192.168.1.104,Laptop,Windows,Safari,Tokyo,Japan,SSO,Success,,Active,2,Yes,5851B4FF-98D0-41AD,8,5.0,2,1,10,Low
EVT_100119,2026-08-01 02:03:11,USR_1036,user_1036,10.0.0.78,Mobile,iOS,Firefox,Singapore,Singapore,SSO,Failed,Incorrect Password,Active,2,Yes,711010E3-07AA-4A94,14,14.0,3,1,55,High
EVT_100120,2026-08-01 02:04:15,USR_1031,user_1031,198.51.100.42,Desktop,macOS,Edge,London,UK,MFA,Failed,Account Locked,Locked,2,Yes,5213A3FC-28B4-4954,9,105.0,116,2,85,Critical
EVT_100121,2026-08-01 02:04:51,USR_1246,user_1246,192.168.1.25,Mobile,iOS,Firefox,London,UK,MFA,Success,,Active,2,Yes,3F8249A1-E6EB-43C0,8,6.0,2,2,10,Low
EVT_100122,2026-08-01 02:06:01,USR_1119,user_1119,10.0.0.178,Laptop,macOS,Safari,Mumbai,India,Password,Failed,Account Locked,Locked,2,Yes,A99CC551-2FB5-4132,9,3.0,1,2,55,High
EVT_100123,2026-08-01 02:06:36,USR_1055,user_1055,10.0.0.11,Desktop,Windows,Chrome,Dubai,UAE,Biometric,Success,,Active,2,Yes,88A3E9F6-D951-4C4B,11,6.0,1,1,10,Low
EVT_100124,2026-08-01 02:08:04,USR_1172,user_1172,10.0.0.146,Desktop,macOS,Chrome,Tokyo,Japan,Password,Success,,Active,2,Yes,7F9BA958-A106-4B28,8,6.0,2,2,10,Low
